Taxon,Cluster
ERR540560,7
ERR470353,7
ERR470485,7
ERR755482,7
ERR755543,7
ERR470345,7
ERR540624,7
ERR689483,7
ERR697254,7
ERR470455,7
ERR755599,7
ERR689485,7
ERR755474,7
ERR570728,7
ERR540631,7
ERR755485,7
ERR925609,7
ERR689455,7
ERR570732,7
ERR690921,7
ERR540575,7
ERR755584,7
ERR697227,7
ERR689489,7
ERR540333,7
ERR470466,7
ERR689498,7
ERR697290,7
ERR755419,7
ERR540421,7
ERR540542,7
ERR690887,7
ERR470320,7
ERR755486,7
ERR755583,7
ERR689459,7
ERR697260,7
ERR689458,7
ERR689480,7
ERR755560,7
ERR540654,7
ERR470472,7
ERR470152,7
ERR540621,7
ERR540380,7
ERR470470,7
ERR540620,7
ERR540629,7
ERR689487,7
ERR540424,7
ERR755555,7
ERR540557,7
ERR1007868,7
ERR697277,7
ERR755373,7
ERR755494,7
ERR540655,7
ERR755515,7
ERR697216,7
ERR540389,7
ERR755375,7
ERR540552,7
ERR690918,7
ERR697243,7
ERR540599,7
ERR689503,7
ERR755566,7
ERR755400,7
ERR755484,7
ERR470460,7
ERR697275,7
ERR470322,7
ERR570734,7
ERR540568,7
ERR755413,7
ERR540683,7
ERR697229,7
ERR689499,7
ERR755562,7
ERR690945,7
ERR690926,7
ERR755412,7
ERR689512,7
ERR925636,7
ERR690914,7
ERR697280,7
ERR755524,7
ERR755497,7
ERR755519,7
ERR470336,7
ERR755528,7
ERR470150,7
ERR697300,7
ERR697240,7
ERR540649,7
ERR570733,7
ERR689533,7
ERR1305045,7
ERR689482,7
ERR540382,7
ERR925601,7
ERR755588,7
ERR689531,7
ERR540562,7
ERR689479,7
ERR755469,7
ERR690922,7
ERR755580,7
ERR540682,7
ERR540566,7
ERR540593,7
ERR697274,7
ERR540565,7
ERR540622,7
ERR540674,7
ERR540679,7
ERR540684,7
ERR697215,7
ERR540569,7
ERR697228,7
ERR755544,7
ERR470479,7
ERR540517,7
ERR689495,7
ERR755473,7
ERR755589,8
ERR470487,8
ERR540539,4
ERR540510,4
ERR755613,4
ERR689472,4
ERR755572,4
ERR540659,4
ERR755392,4
ERR540653,4
ERR540686,4
ERR690931,4
ERR540612,4
ERR755573,4
ERR540546,4
ERR540416,4
ERR540521,4
ERR540413,4
ERR755590,4
ERR697230,4
ERR755529,4
ERR540540,4
ERR689486,4
ERR925568,4
ERR540692,4
ERR540415,4
ERR755598,4
ERR755575,4
ERR690882,4
ERR540511,4
ERR1081450,4
ERR470468,4
ERR689526,4
ERR470461,4
ERR540644,4
ERR689545,4
ERR540600,4
ERR540561,4
ERR689544,4
ERR755470,4
ERR975623,4
ERR540519,4
ERR755475,4
ERR540617,4
ERR755410,4
ERR690890,4
ERR689527,4
ERR697295,4
ERR540638,4
ERR1007889,4
ERR540512,4
ERR470495,4
ERR697237,4
ERR540347,4
ERR755561,4
ERR470488,4
ERR470151,4
ERR540668,4
ERR697213,4
ERR540687,4
ERR689465,4
ERR697294,4
ERR470350,4
ERR755384,4
ERR697289,4
ERR925604,4
ERR975624,4
ERR540701,4
ERR689507,4
ERR755556,4
ERR755564,4
ERR925618,4
ERR755559,4
ERR956434,4
ERR690938,4
ERR540614,4
ERR689497,4
ERR689463,4
ERR470321,4
ERR689460,4
ERR755471,4
ERR540531,4
ERR755376,4
ERR540634,4
ERR540545,4
ERR540392,4
ERR540559,4
ERR697256,4
ERR697231,4
ERR540390,4
ERR1081453,4
ERR540698,4
ERR540516,4
ERR690881,4
ERR540360,4
ERR540556,4
ERR755415,4
ERR540509,4
ERR690932,4
ERR470473,4
ERR697233,4
ERR540695,4
ERR540530,4
ERR755565,4
ERR540515,4
ERR470464,4
ERR689536,4
ERR540374,4
ERR470315,4
ERR689474,4
ERR755372,4
ERR755508,15
ERR540671,1
ERR689519,1
ERR1138894,1
ERR470459,1
ERR540665,1
ERR540365,1
ERR540375,1
ERR540691,1
ERR540399,1
ERR470153,1
ERR540376,1
ERR697241,1
ERR540340,1
ERR689476,1
ERR925579,1
ERR540630,1
ERR540555,1
ERR540378,1
ERR540648,1
ERR570727,1
ERR697222,1
ERR697218,1
ERR470475,1
ERR540344,1
ERR755480,1
ERR540636,1
ERR540553,1
ERR540689,1
ERR470162,1
ERR689477,1
ERR689518,1
ERR690947,1
ERR570726,1
ERR925599,1
ERR540596,1
ERR540663,1
ERR689525,1
ERR755496,1
ERR540576,1
ERR540338,1
ERR689535,1
ERR697220,1
ERR470311,1
ERR540688,1
ERR540641,1
ERR540573,1
ERR470453,1
ERR540411,1
ERR540554,1
ERR540381,1
ERR540574,1
ERR697219,1
ERR690904,17
ERR540364,17
ERR470483,17
ERR690911,17
ERR470462,17
ERR540414,17
ERR925639,17
ERR956433,17
ERR755380,17
ERR470346,17
ERR470319,17
ERR540657,17
ERR540543,17
ERR689491,17
ERR697270,17
ERR540514,17
ERR925630,17
ERR470454,17
ERR690950,17
